	Unnamed: 0	사고내용	사고유형	요일	사고발생시간	경도	위도	법정동	인구밀도
859	871	경상사고	차대사람	금요일	보통	126.84901598448867	37.55189669617371	화곡6동	22609
861	873	중상사고	차대사람	토요일	사고발생 피크 시간	126.84210535238854	37.56273759605274	등촌3동	38878
862	874	경상사고	차대사람	토요일	보통	126.85150869944847	37.55296498548231	화곡6동	22609
863	875	경상사고	차대사람	토요일	보통	126.84000647121977	37.53753333128044	화곡1동	47116
864	876	경상사고	차대사람	일요일	보통	126.84561187642836	37.54372071464886	화곡본동	35318
865	877	경상사고	차대차	일요일	사고발생 피크 시간	126.80360415284306	37.55949727778405	공항동	2896
866	878	경상사고	차대차	일요일	사고발생 피크 시간	126.84048166326704	37.54141177013125	화곡1동	47116
868	880	경상사고	차대차	월요일	보통	126.86440530207553	37.56210263004346	가양3동	30276
869	881	경상사고	차대차	월요일	보통	126.79849184966815	37.58065747885008	방화2동	3690
870	882	경상사고	차대차	월요일	사고발생 피크 시간	126.8555132127635	37.554654397775366	화곡6동	22609
871	883	경상사고	차대차	월요일	사고발생 피크 시간	126.83621585151012	37.55143785145329	발산1동	12439
872	884	경상사고	차대차	월요일	사고발생 피크 시간	126.81645603810216	37.56928883284049	방화1동	29176
873	885	중상사고	차대사람	화요일	사고발생 피크 시간	126.8514498617874	37.53100789243548	화곡2동	40213
874	886	부상신고사고	차대차	화요일	사고발생 피크 시간	126.81467145153064	37.5848536101532	방화3동	8990
875	887	경상사고	차대사람	화요일	사고발생 피크 시간	126.86328578151952	37.55528244266375	등촌1동	38181
876	888	중상사고	차대차	화요일	보통	126.84270634883848	37.53814327818888	화곡1동	47116
878	890	경상사고	차대차	수요일	보통	126.85916595615632	37.532654413578186	화곡4동	25390
879	891	경상사고	차대차	수요일	사고발생 피크 시간	126.85348454242546	37.53523735138892	화곡2동	40213
880	892	중상사고	차대차	목요일	보통	126.83614211199408	37.56357851593378	가양1동	7318
881	893	경상사고	차대차	목요일	보통	126.86074419533593	37.53206807833497	화곡4동	25390
882	894	경상사고	차대차	목요일	사고발생 피크 시간	126.84595648236626	37.53278028904487	화곡1동	47116
